,NAME,LAT,LON,conflict_angle,lon_T,lat_T
0,OMLIV,2.919722222222222,106.46972222222225,37.29,69.3944444444449,47.99305555555555
1,MABAL,3.473888888888889,105.20972222222224,36.2,44.1944444444448,61.84722222222222
2,MUMSO,3.738888888888889,105.53694444444444,99.94,50.73888888888888,68.47222222222223
3,LIPRO,2.895,105.19083333333332,36.36,43.81666666666632,47.375
4,ONAPO,3.353888888888889,106.3877777777778,79.82,67.75555555555599,58.84722222222223
